nohup: ignoring input
===> Using GPU to train
===> Loading datasets
===> Try to resume from checkpoint
===> Start from scratch
Begin training
epoch: 0, lossA:0.0063544511795043945, lossB:0.00589144229888916
===> Saving models...
epoch: 1, lossA:0.006100475788116455, lossB:0.005581915378570557
epoch: 2, lossA:0.006564438343048096, lossB:0.005655109882354736
epoch: 3, lossA:0.005849361419677734, lossB:0.005844235420227051
epoch: 4, lossA:0.005915939807891846, lossB:0.005544304847717285
epoch: 5, lossA:0.006203174591064453, lossB:0.005408525466918945
epoch: 6, lossA:0.006524085998535156, lossB:0.005583286285400391
epoch: 7, lossA:0.00600510835647583, lossB:0.004588186740875244
epoch: 8, lossA:0.009689092636108398, lossB:0.008425772190093994
epoch: 9, lossA:0.005429863929748535, lossB:0.004441261291503906
epoch: 10, lossA:0.005709290504455566, lossB:0.004980683326721191
epoch: 11, lossA:0.0055789947509765625, lossB:0.004835903644561768
epoch: 12, lossA:0.0056536197662353516, lossB:0.004322528839111328
epoch: 13, lossA:0.004474937915802002, lossB:0.0034165382385253906
epoch: 14, lossA:0.004245400428771973, lossB:0.0037184953689575195
epoch: 15, lossA:0.004916191101074219, lossB:0.003886997699737549
epoch: 16, lossA:0.0046539306640625, lossB:0.003499627113342285
epoch: 17, lossA:0.0039771199226379395, lossB:0.0029628872871398926
epoch: 18, lossA:0.004586219787597656, lossB:0.003584921360015869
epoch: 19, lossA:0.004761993885040283, lossB:0.0033829212188720703
epoch: 20, lossA:0.004406929016113281, lossB:0.0033785104751586914
epoch: 21, lossA:0.004717230796813965, lossB:0.002986729145050049
epoch: 22, lossA:0.004031538963317871, lossB:0.0038889050483703613
epoch: 23, lossA:0.005281269550323486, lossB:0.0035515427589416504
epoch: 24, lossA:0.004111051559448242, lossB:0.0036470890045166016
epoch: 25, lossA:0.004119992256164551, lossB:0.0032528042793273926
epoch: 26, lossA:0.004979133605957031, lossB:0.0033036470413208008
epoch: 27, lossA:0.004780590534210205, lossB:0.0034075379371643066
epoch: 28, lossA:0.004296422004699707, lossB:0.003086388111114502
epoch: 29, lossA:0.005080521106719971, lossB:0.0037202835083007812
epoch: 30, lossA:0.004500389099121094, lossB:0.0033527016639709473
epoch: 31, lossA:0.004015803337097168, lossB:0.003050565719604492
epoch: 32, lossA:0.004233241081237793, lossB:0.0035462379455566406
epoch: 33, lossA:0.0038944482803344727, lossB:0.0034482479095458984
epoch: 34, lossA:0.004492580890655518, lossB:0.0029526352882385254
epoch: 35, lossA:0.004449188709259033, lossB:0.00328826904296875
epoch: 36, lossA:0.003962993621826172, lossB:0.0028121471405029297
epoch: 37, lossA:0.0041005611419677734, lossB:0.0029932260513305664
epoch: 38, lossA:0.004439890384674072, lossB:0.002795100212097168
epoch: 39, lossA:0.004541158676147461, lossB:0.0031363964080810547
epoch: 40, lossA:0.004559636116027832, lossB:0.0035694241523742676
epoch: 41, lossA:0.0049659013748168945, lossB:0.003430962562561035
epoch: 42, lossA:0.004435360431671143, lossB:0.0032339096069335938
epoch: 43, lossA:0.004452228546142578, lossB:0.0037961602210998535
epoch: 44, lossA:0.00437164306640625, lossB:0.0041697025299072266
epoch: 45, lossA:0.004154980182647705, lossB:0.0029336214065551758
epoch: 46, lossA:0.004768490791320801, lossB:0.003473997116088867
epoch: 47, lossA:0.003662407398223877, lossB:0.0029402971267700195
epoch: 48, lossA:0.0038748979568481445, lossB:0.00302278995513916
epoch: 49, lossA:0.0033951401710510254, lossB:0.0025011301040649414
epoch: 50, lossA:0.004686415195465088, lossB:0.0028162002563476562
epoch: 51, lossA:0.004079103469848633, lossB:0.002997756004333496
epoch: 52, lossA:0.004056274890899658, lossB:0.002721071243286133
epoch: 53, lossA:0.005085110664367676, lossB:0.002785027027130127
epoch: 54, lossA:0.005971252918243408, lossB:0.00457453727722168
epoch: 55, lossA:0.005818367004394531, lossB:0.004116177558898926
epoch: 56, lossA:0.005136370658874512, lossB:0.0038901567459106445
epoch: 57, lossA:0.0042136311531066895, lossB:0.003013908863067627
epoch: 58, lossA:0.004449129104614258, lossB:0.0034122467041015625
epoch: 59, lossA:0.004416286945343018, lossB:0.00380861759185791
epoch: 60, lossA:0.0036350488662719727, lossB:0.0029584169387817383
epoch: 61, lossA:0.004055798053741455, lossB:0.003028690814971924
epoch: 62, lossA:0.0038409829139709473, lossB:0.002743244171142578
epoch: 63, lossA:0.0035134553909301758, lossB:0.0026971101760864258
epoch: 64, lossA:0.0029559731483459473, lossB:0.002514362335205078
epoch: 65, lossA:0.00415349006652832, lossB:0.0033032894134521484
epoch: 66, lossA:0.0044119954109191895, lossB:0.003200829029083252
epoch: 67, lossA:0.004025280475616455, lossB:0.0029202699661254883
epoch: 68, lossA:0.0038445591926574707, lossB:0.0032960176467895508
epoch: 69, lossA:0.0033450722694396973, lossB:0.0032387971878051758
epoch: 70, lossA:0.0032896995544433594, lossB:0.002837538719177246
epoch: 71, lossA:0.003538191318511963, lossB:0.00258791446685791
epoch: 72, lossA:0.0035709142684936523, lossB:0.0029934048652648926
epoch: 73, lossA:0.0035681724548339844, lossB:0.0025626420974731445
epoch: 74, lossA:0.0031925439834594727, lossB:0.002595663070678711
epoch: 75, lossA:0.0028002262115478516, lossB:0.002553105354309082
epoch: 76, lossA:0.0030819177627563477, lossB:0.002240419387817383
epoch: 77, lossA:0.0035631656646728516, lossB:0.0023522377014160156
epoch: 78, lossA:0.003500699996948242, lossB:0.00204622745513916
epoch: 79, lossA:0.00281524658203125, lossB:0.00246274471282959
epoch: 80, lossA:0.002953171730041504, lossB:0.001924276351928711
epoch: 81, lossA:0.004956543445587158, lossB:0.004572153091430664
epoch: 82, lossA:0.009947538375854492, lossB:0.007138609886169434
epoch: 83, lossA:0.0038805007934570312, lossB:0.0032156705856323242
epoch: 84, lossA:0.0047248005867004395, lossB:0.004101872444152832
epoch: 85, lossA:0.004308223724365234, lossB:0.003186821937561035
epoch: 86, lossA:0.004832565784454346, lossB:0.003232598304748535
epoch: 87, lossA:0.003842175006866455, lossB:0.003060460090637207
epoch: 88, lossA:0.0035272836685180664, lossB:0.0027213692665100098
epoch: 89, lossA:0.003439664840698242, lossB:0.0025981664657592773
epoch: 90, lossA:0.00345766544342041, lossB:0.0024377107620239258
epoch: 91, lossA:0.003017902374267578, lossB:0.0026090145111083984
epoch: 92, lossA:0.003525257110595703, lossB:0.0024143457412719727
epoch: 93, lossA:0.0031298398971557617, lossB:0.0023716092109680176
epoch: 94, lossA:0.0032149553298950195, lossB:0.002723515033721924
epoch: 95, lossA:0.003095269203186035, lossB:0.0019856691360473633
epoch: 96, lossA:0.0033639073371887207, lossB:0.0023847222328186035
epoch: 97, lossA:0.0032176971435546875, lossB:0.0028113126754760742
epoch: 98, lossA:0.003353416919708252, lossB:0.0025757551193237305
